Scan Number	m/z	Intensity	Relative	Segment Number	Flags	
23	445.118011474609	5902283.5	100	1		
23	391.282409667969	4497217.5	76.1945355556032	1		
23	519.136596679688	4109575.5	69.6268740733989	1		
23	593.155029296875	3548069.5	60.1135052221738	1		
23	419.313659667969	2737981.75	46.3885164106401	1		
23	446.118316650391	2698585.5	45.7210416951338	1		
23	667.173461914063	2546731	43.1482323748088	1		
23	371.099578857422	2239568.5	37.944102481692	1		
23	355.068267822266	2181417.75	36.9588778648128	1		
23	520.136840820313	2097961	35.5449039342146	1		
23	594.155212402344	2046922.5	34.6801792899308	1		
23	429.086822509766	1787664.75	30.2876801834409	1		
23	668.173583984375	1647103.375	27.90620570835	1		
23	447.114715576172	1345978.5	22.8043688514793	1		
23	577.123901367188	1345900.625	22.8030494468793	1		
23	371.313842773438	1333993.625	22.6013139660269	1		
23	595.152526855469	1285044.75	21.7719929922038	1		
23	392.285736083984	1248259.25	21.1487511570734	1		
23	669.170959472656	1152672.125	19.5292571934235	1		
23	503.105316162109	1133255.375	19.2002870583902	1		
23	521.133422851563	1120599.25	18.9858594559207	1		
23	741.191955566406	1076750.5	18.242947835359	1		
23	651.142395019531	914813.9375	15.4993222114797	1		
23	420.316986083984	813625.9375	13.7849348900303	1		
23	742.192443847656	721856.5625	12.2301235191431	1		
23	578.124328613281	675875.5	11.4510849910886	1		
23	361.329528808594	641714.4375	10.8723079381057	1		
23	403.230804443359	603286.5625	10.2212400082104	1		
23	430.086486816406	565776.0625	9.58571479157177	1		
23	652.142822265625	549068.0625	9.30263791124232	1		
23	372.098602294922	498266.96875	8.44193554494629	1		
23	356.067321777344	478287	8.10342302263183	1		
23	743.189697265625	460015.34375	7.79385374745215	1		
23	670.170837402344	447686.09375	7.58496425578338	1		
23	504.105316162109	442171.875	7.49153907974769	1		
23	596.151977539063	438576.0625	7.43061668420366	1		
23	579.12158203125	406090.8125	6.880232244012	1		
23	533.188598632813	391608.46875	6.6348637565444	1		
23	373.096405029297	385545.0625	6.53213391901626	1		
23	431.083557128906	381461.375	6.46294565484698	1		
23	607.206909179688	367986.125	6.23463994909767	1		
23	357.065277099609	360248.25	6.10354026539051	1		
23	522.133239746094	324983.09375	5.50605699895642	1		
23	653.140319824219	324727.25	5.50172234186989	1		
23	372.317169189453	317616.21875	5.38124301806242	1		
23	447.344635009766	315472.8125	5.34492815365443	1		
23	448.114013671875	313285.03125	5.30786146158516	1		
23	815.21044921875	312084.15625	5.28751552259392	1		
23	505.101531982422	289342.6875	4.90221602367965	1		
23	387.094421386719	259946.484375	4.40416805419462	1		
23	359.026733398438	245066.8125	4.15206779715004	1		
23	744.189514160156	226921.625	3.84464123080499	1		
23	816.211120605469	221624.515625	3.75489445102052	1		
23	369.371154785156	219208.515625	3.71396114105668	1		
23	373.078826904297	210619.265625	3.56843695537498	1		
23	357.236663818359	206433.015625	3.49751101628717	1		
23	459.169921875	205136.296875	3.47554123543879	1		
23	610.181518554688	198951.25	3.37075049004339	1		
23	608.207397460938	193604.390625	3.28016081614853	1		
23	371.0634765625	184399.25	3.12420184493002	1		
23	536.162963867188	182482.96875	3.09173506745313	1		
23	671.168273925781	182189.296875	3.08675950375816	1		
23	447.097534179688	178946.140625	3.03181202029689	1		
23	817.208679199219	171920.53125	2.91277996473738	1		
23	369.120025634766	165725.953125	2.80782773523163	1		
23	462.144348144531	163733.984375	2.77407861508177	1		
23	505.085174560547	160574.375	2.72054663250249	1		
23	393.288848876953	159408.328125	2.70079077233413	1		
23	415.034881591797	158090.546875	2.6784641380747	1		
